"date","mob.bus.uk","mob.full.uk","mob.bus.sa","mob.full.sa","mob.bus.br","mob.full.br"
2020-11-15,-46.3333333333333,-25.1666666666667,-20.8333333333333,-14.5833333333333,5.33333333333333,8
2020-11-16,-41,-19,-21.8333333333333,-15.1666666666667,-11.3333333333333,-8
2020-11-17,-41,-17.3333333333333,-20.8333333333333,-15.25,-9.66666666666667,-7.33333333333333
2020-11-18,-42.6666666666667,-21.5,-21.1666666666667,-15,-11.3333333333333,-9
2020-11-19,-41.6666666666667,-17.9166666666667,-19.6666666666667,-13.75,-8.33333333333333,-5.5
2020-11-20,-43.3333333333333,-22,-17.1666666666667,-12.1666666666667,-9,-4.83333333333333
2020-11-21,-44.3333333333333,-21.8333333333333,-16.6666666666667,-13.5,-5,-2
2020-11-22,-42,-17.5,-22.8333333333333,-16.6666666666667,-10,-5.33333333333333
2020-11-23,-40.3333333333333,-17.5,-22.6666666666667,-16.0833333333333,-10,-7.16666666666667
2020-11-24,-40.6666666666667,-17.5,-20.1666666666667,-14.5,-9.33333333333333,-6.58333333333333
2020-11-25,-41.3333333333333,-20.1666666666667,-12,-7.41666666666667,-8.33333333333333,-5.5
2020-11-26,-40.3333333333333,-16.3333333333333,-9.16666666666667,-4.33333333333333,-7.33333333333333,-4.5
2020-11-27,-41,-18.1666666666667,-7,-4.25,-4.66666666666667,-2
2020-11-28,-42.6666666666667,-22.5833333333333,-4.83333333333333,-4.33333333333333,-3.33333333333333,-1.33333333333333
2020-11-29,-40.6666666666667,-20.5,-8.66666666666667,-5.08333333333333,-8.66666666666667,-3.66666666666667
2020-11-30,-38.6666666666667,-18.8333333333333,-12.3333333333333,-6.91666666666667,-8.66666666666667,-5.5
2020-12-01,-37.6666666666667,-15,-9.66666666666667,-5.33333333333333,-6.66666666666667,-3.83333333333333
2020-12-02,-31.3333333333333,-14.5,-8.33333333333333,-3.75,-7.16666666666667,-4.25
2020-12-03,-33,-17.8333333333333,-7.5,-2.16666666666667,-6.5,-3.75
2020-12-04,-32.6666666666667,-17,-7.5,-3.66666666666667,-4,-1.33333333333333
2020-12-05,-27,-13.3333333333333,-4,-3.66666666666667,-3,-1.16666666666667
2020-12-06,-27.3333333333333,-13.6666666666667,-10.6666666666667,-7.16666666666667,-11,-6.16666666666667
2020-12-07,-29.8333333333333,-13.25,-15.8333333333333,-9.58333333333333,-7,-4.5
2020-12-08,-30.6666666666667,-13.6666666666667,-14.8333333333333,-9.58333333333333,-8,-4.5
2020-12-09,-31.3333333333333,-14.1666666666667,-13.6666666666667,-7.75,-6.33333333333333,-3.66666666666667
2020-12-10,-31,-13,-11.8333333333333,-5.25,-4.33333333333333,-1.33333333333333
2020-12-11,-31.6666666666667,-13.8333333333333,-10.6666666666667,-5.41666666666667,-4.33333333333333,-1.5
2020-12-12,-26,-12.5,-8.5,-6.58333333333333,-3,-0.666666666666667
2020-12-13,-31.6666666666667,-21.5833333333333,-10.1666666666667,-5,-9,-3.66666666666667
2020-12-14,-29.6666666666667,-11.5833333333333,-17.3333333333333,-8.25,-7.66666666666667,-4.5
2020-12-15,-29,-9.16666666666667,-7,0.25,-5.16666666666667,-2.25
2020-12-16,-32.6666666666667,-16,-34.5,-12.9166666666667,-4.66666666666667,-1.83333333333333
2020-12-17,-29.8333333333333,-8.75,-15.1666666666667,-1.08333333333333,-3.33333333333333,-0.666666666666667
2020-12-18,-33.8333333333333,-15.25,-15,-3.58333333333333,-0.666666666666667,1.83333333333333
2020-12-19,-27.6666666666667,-12.8333333333333,-2.83333333333333,-0.0833333333333333,3,3.33333333333333
2020-12-20,-28.6666666666667,-12,-5.5,0.75,1.66666666666667,4.58333333333333
2020-12-21,-36.6666666666667,-13.1666666666667,-18.1666666666667,-2.16666666666667,-1,2.5
2020-12-22,-36,-7.16666666666667,-16.5,-1.33333333333333,0,3.66666666666667
2020-12-23,-39,-13.1666666666667,-12.8333333333333,3.91666666666667,6.66666666666667,12.25
2020-12-24,-48,-13.6666666666667,-18.1666666666667,4.75,-9.33333333333333,7.16666666666667
2020-12-25,-86.3333333333333,-57.8333333333333,-69.6666666666667,-38.1666666666667,-61.6666666666667,-42
2020-12-26,-71,-48.3333333333333,-43.1666666666667,-24.6666666666667,-22.6666666666667,-12
2020-12-27,-48,-25.1666666666667,-22.8333333333333,-9,-15,-9.83333333333333
2020-12-28,-65.3333333333333,-28.5,-31.3333333333333,-7.16666666666667,-10.3333333333333,-2.5
2020-12-29,-57.3333333333333,-23.1666666666667,-36.6666666666667,-14.4166666666667,-9.83333333333333,-1.75
2020-12-30,-54.6666666666667,-19.6666666666667,-36.1666666666667,-12.5,-3.66666666666667,6.91666666666667
2020-12-31,-60.6666666666667,-22.1666666666667,-35.5,-8,-19,3.25
2021-01-01,-82.6666666666667,-46.8333333333333,-69.5,-37.9166666666667,-62.6666666666667,-40.8333333333333
2021-01-02,-55.6666666666667,-29.6666666666667,-34,-20,-29,-14.5
